score;sim_to_best_vertices;sim_to_best_edges;avg_sim_others_vertices;avg_sim_others_edges
17277.000000;154;96;151.031031;94.289289
18373.000000;156;117;150.571572;100.845846
12376.000000;103;62;102.085085;61.697698
16880.000000;158;113;151.231231;95.760761
17142.000000;158;107;151.651652;95.642643
17408.000000;143;105;141.581582;93.919920
17953.000000;152;108;148.882883;100.277277
16785.000000;151;103;148.393393;94.159159
18587.000000;152;110;149.442442;102.429429
16982.000000;153;96;150.053053;94.737738
16736.000000;148;103;145.918919;95.047047
16830.000000;154;107;151.417417;98.113113
16776.000000;150;103;144.405405;90.660661
17524.000000;147;103;144.680681;96.307307
16901.000000;150;99;147.395395;96.536537
17213.000000;158;114;153.147147;96.634635
16435.000000;127;95;124.231231;78.178178
17672.000000;155;102;152.828829;99.082082
17782.000000;156;119;150.721722;98.794795
12386.000000;113;81;110.044044;71.936937
16868.000000;157;107;151.825826;96.898899
16013.000000;136;87;131.799800;80.313313
17432.000000;157;114;149.863864;97.145145
18499.000000;153;117;147.034034;99.438438
16905.000000;154;102;151.906907;95.176176
17348.000000;158;119;151.861862;98.092092
17137.000000;153;96;149.329329;92.596597
18181.000000;142;101;138.947948;90.803804
17423.000000;156;108;150.533534;94.922923
16568.000000;156;106;151.184184;94.712713
17741.000000;154;104;149.716717;99.469469
16283.000000;149;97;144.115115;87.297297
17338.000000;155;103;151.847848;98.573574
17672.000000;154;98;150.884885;95.965966
15382.000000;156;105;155.459459;93.475475
17150.000000;156;110;151.361361;97.378378
17159.000000;158;115;150.784785;96.129129
16616.000000;159;114;154.686687;95.959960
17827.000000;158;108;152.473473;95.842843
17612.000000;156;110;151.510511;99.800801
16760.000000;155;113;152.268268;97.296296
17848.000000;151;111;147.572573;97.830831
18025.000000;155;110;150.932933;100.219219
16503.000000;157;105;153.694695;96.913914
16745.000000;122;92;120.537538;82.230230
16802.000000;155;105;149.651652;92.623624
17388.000000;152;107;149.382382;95.799800
17445.000000;154;110;150.431431;100.716717
16463.000000;159;113;152.743744;96.531532
17465.000000;152;107;146.648649;95.528529
18245.000000;144;103;142.465465;95.891892
16353.000000;154;95;152.174174;93.683684
14024.000000;120;74;117.874875;75.183183
16149.000000;150;105;146.605606;89.214214
18259.000000;154;115;148.782783;100.089089
16741.000000;152;105;149.499499;96.729730
18070.000000;157;114;154.389389;106.006006
17608.000000;156;103;152.729730;97.505506
17604.000000;152;97;148.577578;94.709710
16522.000000;157;103;152.181181;97.575576
16860.000000;156;107;152.254254;94.700701
18010.000000;149;106;145.452452;95.747748
17386.000000;151;106;148.300300;96.787788
16986.000000;154;102;151.054054;93.357357
17457.000000;151;102;147.802803;95.332332
17233.000000;157;112;152.524525;100.419419
17650.000000;151;108;145.629630;93.490490
17114.000000;157;119;152.485485;98.745746
17107.000000;154;108;151.868869;98.864865
15666.000000;137;85;136.594595;84.177177
16618.000000;155;103;151.941942;93.770771
15597.000000;150;94;147.246246;88.480480
16591.000000;154;101;152.293293;95.573574
17263.000000;157;109;152.918919;100.959960
17809.000000;154;105;149.941942;97.086086
16798.000000;152;104;148.826827;96.211211
14818.000000;128;85;125.338338;75.077077
17615.000000;158;110;151.319319;100.105105
17819.000000;155;111;150.459459;99.350350
18180.000000;158;117;150.907908;98.585586
17163.000000;156;106;151.442442;94.750751
