TABELA 1: Statystyki funkcji celu (Zysk - Dystans);
Metoda;TSPA.csv;TSPB.csv;
HLNS-C (wlasna metoda);8614.0 (8591.0 - 8626.0);20156.4 (20147.0 - 20164.0);
HAE Op1 + LS;8159.8 (7691.0 - 8516.0);19952.8 (19744.0 - 20121.0);
HAE Op2 + LS;8055.9 (7753.0 - 8544.0);19921.7 (19684.0 - 20105.0);
MSLS (200 iter LS);7800.9 (7475.0 - 8226.0);19369.7 (19013.0 - 19629.0);
ILS (Iterated LS);8006.9 (7423.0 - 8438.0);19642.7 (19059.0 - 20051.0);
LNS (Destroy-Repair + LS);8215.5 (7659.0 - 8473.0);19638.2 (19366.0 - 20055.0);

TABELA 2: Statystyki czasu obliczen jednego uruchomienia (ms);
Metoda;TSPA.csv;TSPB.csv;
HLNS-C (wlasna metoda);5047.4 (5047 - 5049);5490.2 (5490 - 5491);
HAE Op1 + LS;5051.1 (5047 - 5059);5491.6 (5490 - 5501);
HAE Op2 + LS;5051.7 (5047 - 5061);5491.2 (5490 - 5494);
MSLS (200 iter LS);5047.3 (4904 - 5227);5490.3 (5419 - 5613);
ILS (Iterated LS);5047.2 (5047 - 5048);5490.2 (5490 - 5491);
LNS (Destroy-Repair + LS);5047.8 (5047 - 5049);5490.4 (5490 - 5491);

TABELA 3: Liczba iteracji (rekombinacji/perturbacji/LNS);
Metoda;TSPA.csv;TSPB.csv;
HLNS-C (wlasna metoda);4052.8 (3237 - 4412);5969.1 (5425 - 6528);
HAE Op1 + LS;408.1 (315 - 1012);789.5 (443 - 1311);
HAE Op2 + LS;359.5 (302 - 778);815.0 (416 - 1498);
MSLS (200 iter LS);200.0 (200 - 200);200.0 (200 - 200);
ILS (Iterated LS);4108.2 (3910 - 4445);4443.9 (4268 - 4565);
LNS (Destroy-Repair + LS);2411.3 (2190 - 2572);3020.7 (2693 - 3438);

